What is the free float for Activity C? | 4 days
A project team is currently assessing the project stakeholder management plan for its validity. The project documents are essential inputs to this process. Which of the following project documents must be used by the project team during this process? | All project documents prepared during the project so far.
Debbie, an IT project manager, is in the planning phase of a shopping website development project. A junior project manager, who has been working under her authority, started developing procedures to indicate how the integrity of cost and schedule performance baselines should be maintained in the project. Where should the junior project manager store these procedures? | In the project management plan
You are a Project Manager creating the final project file. Which information would you NOT include in this file? | Lessons learned from previous similar projects
Emily has recently been asked to manage the deployment of an enterprise resource planning system for her organization. Emily has sent her project sponsor a meeting request to discuss her project’s stakeholder management plan. The sponsor believes that the stakeholder management planning is not relevant for such internal projects. The sponsor believes that only the scope, schedule and cost management plans are sufficient for such projects. The sponsor has asked Emily to describe the objective of the meeting. Which of the following is the best response to this question? | The objective of the meeting is to develop strategies to effectively keep the project stakeholder engaged and committed to the project.
You are an inexperienced project manager who has been appointed to manage a project in a matrix organization. Because of this you can expect the communication in this project to be: | Complex
A project manager presented Earned value analysis data in a tabular format while providing a performance report. An alternative way in which the project manager could have presented the Earned value analysis data is by using: | An S-curve
Creating a sense of community is a benefit of what type of strategy? | Co-location
Which of these precedence relationships is most commonly used in Precedence Diagramming Method? | Finish to Start
Your project schedule shows a 15 month finish, but your customer has just realized there is a regulatory requirement to complete the project by a certain date and insists this project must be finished in 12 months. Which of the following is the best approach? | Inform the customer of the impacts, then crash the project.
Which of the following documents the formal or informal assessments of the project team’s effectiveness? | Team Performance Assessments
Emily is the project manager of a project that has a timeline of 18 months. Emily has planned for daily status reports to be sent out to all stakeholders. After receiving two such reports, the project sponsor informs Emily that she would only like to have fortnightly reports. Emily had done an analysis of communications requirements and considered various attributes for the communications management plan. What aspect has she missed out, which resulted in a daily status report being sent out instead of fortnightly status reports? | She has not considered the frequency of information distribution.
Project stakeholders are individuals and organizations that are actively involved in the project or have an interest in it. Which of the following is not a stakeholder? | Competitor
The Identify Stakeholders process is an initiating process. At this stage, which of the following organizational process assets is the most crucial input to this process? | Lessons learned from previous projects.
Jane is working for a chemical industry and her management proposed two different projects to manufacture Benzene for commercial use. After doing financial analysis, the financial advisor provided her the following statistics about the projects.
Project-1: 60% probability of success with a profit of $500,000 and 20% probability of failure with a loss of $200,000;
Project-2: 30% probability of success with a profit of $300,000 and 30% probability of failure with a loss of $400,000;  | Project-1
Why is it important to have a staff release plan for people within the project team? | The project saves money by releasing people from the project at the right time and morale is also improved.
You took over a project from an individual who was let go. You are reading the project documentation and found the project charter was signed by five managers. What should be your primary concern at this time? | Getting a single sponsor
Your company will receive a large bonus payment for completing a customer’s project by a certain date. However, as the project manager, you know the project will complete approximately 2 weeks after that date as it is currently scheduled. Your manager is insisting that you to do whatever it takes to finish the project by that date, even if it means “cutting corners here and there.” What do you do? | Explain to both your manager and the project stakeholders the impact that this schedule change could have on the project.
You are involved as project manager in a fairly large-sized project. You are in the process of making a procurement decision and plan to go with a simple purchase order. However, you are doubtful whether this is the correct thing to do and decide to find out more details about the process to be followed. Based on your findings, which of the following would be correct? | You would need to verify the policy constraints that form part of the Organizational process assets. Many organizations have policies that constrain procurement decisions and require use of a longer form of contract for projects above a certain value.
Which of the following is not true about the WBS? | WBS should focus on activities rather than deliverables
What do buyers and seller have in common with regards to Control Procurements? | Each party ensures that both it and the other party meet their contractual obligations and that their own legal rights are protected.
A first-time project manager was assigned to a project that had a duration of 3 months. In order to gain a head start in the project, she took an older, completed project and incorporated all the tools, techniques and checklists from that project in their entirety into the current one. The older project had been completed in 14 months’ time and was very similar in nature. The most appropriate comment on this would be: | This may be unnecessary. The project management team needs to decide what is appropriate for the project.
A project manager manages a distributed team with team members located in five countries. Due to time-zone differences, he is unable to find a time that is acceptable to all team members. Which conflict resolution technique is best suited for this situation? | Compromise
You are working on a data center migration project and will be moving a mainframe system to another data center. However, you can’t have any downtime when performing the move. The subject matter experts have various ideas regarding how this daunting task can be done, but the group is not coming to a consensus. You have decided that you will send out a questionnaire to the subject matter experts to get their views and risks on the project. You will then summarize the risks and approaches, and recirculate it to the subject matter experts. You are hoping to reach consensus after several rounds of this. What type of tool is being used? | Delphi Technique
A project manager wants to understand a project goal in relation to the steps for getting to that goal. Which of the following is a useful method for contingency planning that aids a team in anticipating intermediate steps that could derail achievement of a project goal? | Process decision program charts (PDPC)
____________ is performed on risks that have been prioritized by the Perform Qualitative Risk Analysis process as potentially and substantially impacting the project. | Perform Quantitative Risk Analysis
You are attempting to estimate the resources required to put the server racks together in the new data center you are building. It has occurred to you that you may be able to compress the schedule if you look at using power tools vs. hand tools to build the racks and use individuals who have worked on this brand of rack in the past. This is an example of what type of resource estimating tool? | Alternative Analysis
A seller entered into contract with a buyer. At the end of the project, the seller was reimbursed for the cost of the project, but received a very low fee based on certain subjective criteria that had been laid down in the contract. What type of contract is this likely to be? | Cost Plus Award Fee (CPAF) contract
A project manager has decided to use a decision tree to make a build or upgrade analysis. The build requires an investment of $ 200 M (where M represents million). On the build decision branch, there is a 60% probability of strong demand (yielding a revenue of $ 400 M) and a 40% probability of weak demand (yielding a revenue of $150 M). What is the expected monetary value (EMV) of the build? | $ 100 M
All of the monitoring and control processes and many of the executing processes produce change requests as an output. Change requests include corrective action and preventive action. Which of the following are normally affected by corrective and preventive actions? | The performance against baselines
A good quality audit should be: | structured and independent
While going through a list of candidates to be hired for your project, you find that your cousin is one the 3 short listed candidates. You know that she was desperately looking for job. After reviewing these resumes, you’ll be sending them to the electronics engineer for a technical interview. Having a first look at the 3 short listed resumes, you realize that they have similar qualifications and experiences. What should you do? | Forward all three resumes.
Which of the following activities fall under the planning process group but not under the Project Schedule Management? | Developing a detailed description of the project and product being developed
Decision making is an important skill a project manager must possess to manage and lead the team. Which of the following is NOT a part of the six- phase decision-making model? | Problem solution escalation
What does it mean if the Earned Value is equal to Actual Cost? | There is no cost variance
As part of the Control Procurements process, the project manager prepared a complete set of indexed contract documentation, including the closed contract, to include with the final project files. This is called a: | Procurement file
You are working as a project manager for a wind-powered vehicle manufacturing project, which is in its planning phase. You carefully gathered all your requirements from your key stakeholders and prepared a system requirements specification and project requirements specification documents. While presenting your documents to the project team, a project team member who is very enthusiastic about the project started talking about the duration estimates for each activity. Which of the following statements indicate your response to your team member? | Scope definition, WBS creation, Activity definition, and Activity sequencing must be done before estimating durations
A project team is trying to solve a moderately complex problem. The have generated data using affinity diagrams. That data possess intertwined logical relationships. Which of the following tool can help the team analyze these intertwined relationships? | Interrelationship digraph
You are a Project Manager for a company that has a composite organization structure. The current project you are managing is coming to an end. There are a number of activities that need to be completed including releasing project resources. All of the following statements are examples or true statements related to releasing project resources in this company EXCEPT? | Transferring the documented lessons learned into the lessons learned database
A project uses rounding of activity estimates data to the nearest $100, uses staff hours as the unit of measure for resources, and has a variance threshold of 10% deviation from the baseline plan. These would be typically documented in the: | Cost management plan
Emily has recently taken over a project as the project manager. The project is early in the executing phase. Although, the project scope statement was signed off by all key stakeholders, Emily finds out that some of the key stakeholders do not fully understand the project scope. Stakeholders’ continuous support is very critical for the success of the project. What must Emily do? | Conduct one-to-one meeting sessions with these key stakeholders to ensure that they understand the project scope.
During the Conduct Procurements process, the procuring organization found that there were significant differences in the pricing by different sellers. What is the best course of action in such a scenario? | Investigate whether the project statement of work was defective or ambiguous.
You have been assigned as the project manager for a software development project. You are currently communicating with stakeholders and addressing their issues and expectations. Which of the following documents help carrying out this effort? | The stakeholder management plan, communications management plan, and the change log
Peter’s project is in execution. Peter has a monthly stakeholder update meeting set up where he presents the project’s progress and current issues to the key stakeholders. During the last stakeholder update meeting, the stakeholders requested Peter to provide bi-weekly project updates instead of monthly updates. The communication management plan has been broadly framed and it doesn’t restrict Stanley from doing bi-weekly updates. What should Peter do? | Start providing bi-weekly updates instead of monthly updates.
In an underground highway construction project, the project stakeholders have suggested many changes to the project scope. As you have already defined the cost baseline in your project, you would like to revisit the baseline to see how these changes impact the overall cost of the project. So, you have started an impact analysis to determine the impact, and inform the concerned stakeholders of all approved changes and the corresponding costs. You must use the following to carry out such process: | Control Costs
You are managing a fund raising golf tournament that has a hole-in-one contest. However, your company can’t afford to pay the $1,000,000 award if someone does get a hole in one, so they have elected to take out an insurance policy in the event that someone does get lucky. This is an example of? | Transference
Which of the following documents will help trace the requirements to product design? | Requirements traceability matrix
You are analyzing the risk in a project and decide to do sensitivity analysis to determine which risks have the most potential impact on the project. You look at a tool to help compare the relative importance of variables that have a high degree of uncertainty to those that are more stable. One such tool is: | Tornado Diagram
A Work Breakdown Structure (WBS) dictionary supports the WBS and is a companion document to the WBS. Which of the following is not included in the WBS dictionary? | Resource assigned
In a Finish to Start relationship between predecessor and successor activities, a project manager decides to schedule a successor activity 5 days before its predecessor is complete. This is accomplished by providing 5 days of: | Lead
Your are working for a large project organization, with several project managers, working on 15 projects. All project managers submit their status reports at month end. One of your colleague project manager has reported an error in last 2 months. Discussing the issue with one of her project’s team members, who is also working on one of your projects, you realize that she is deliberately misreporting the project’s status, to pump-up her performance as the annual performance appraisal is due next month. The month-end review meeting will be held in 2 days time as you are preparing your presentation for the same. What should you say about her status report? | Report the incorrect status to the appropriate management.
Costs incurred in one area of a project can offset costs in another area of the same project. However, it is not the best practice to consider only the costs of project execution when making project decisions. What must also be considered? | Operating costs
Johan is a project manager working for a Norwegian accounting firm. To get results, Johan often tells team members that if deadlines are not met, he will have to discuss their performance with their functional managers. Johan’s organization can not be a: | Projectized organization
What is the critical path for this project? | 14 days
Which of the following items needs to be kept in mind when relying on risk identification checklists? | They are not exhaustive.
What is the free float for Activity B? | 2 days
A project manager is performing a set of processes in the Initiating Process Group. Which of the following is likely to be part of the Initiating Process Group? | Develop Project Charter
You have been offered a position managing a project that will last 12 months. However, you know that in 6 months you will be relocating to another state for family reasons. What should you do? | Disclose your relocation plans to the hiring manager.
The RACI chart is an example for a responsibility assignment matrix (RAM). The letters R and C in RACI chart stand for | Responsible and consult
Peter is managing the development of an ecommerce website for his organization. Peter enjoys coercive powers and has assigned Julie, a project team member, to facilitate the team meetings. During any team meeting, Julie must? | Remain neutral and facilitate the meetings
Experienced project managers always tell that accuracy and precision are not the same. Precise measurements may not be accurate and accurate measurements may not be precise. Which of the following statementsabout the precision and accuracy are CORRECT? | Precision means the values of repeated measurements are clustered and Accuracy means the measured value is close to the actual value
You are setting up your project team and you are looking at a chart that shows that the programming will be performed by Systems Development, the infrastructure will be implemented by Infrastructure Systems, the customer communication will be handled by the Call Center. This is an example of what type of chart? | Organizational Breakdown Structure (OBS)
Richard is currently assessing his project stakeholders influences, interests, expectations, risk tolerance and engagement levels. This relates to which of the following tools and techniques? | Stakeholder analysis
A company you worked for several years ago is bidding on a project your new company will be starting in approximately 6 months. You have been selected to manage the project, and will be participating in the vendor selection processes. What should you do? | Notify the project stakeholders of your status as a former employee of the bidding company, and comply with their preferences for how you participate in the vendor selection process.
Which of the following statements most accurately describes a project scenario? | Staffing peaks up during the execution phase of a project.
You have been asked by your project manager to help them create a chart that illustrates the project resources that will be working on each work package. What would be the best type of chart to use? | RACI chart
As the project manager of a high-visibility project, you are in the process of Identifying risks. You are concerned that the data you collect might be biased. A technique that helps keep the bias out of the data and keeps any one person from having undue influence on the outcome is: | Delphi technique
Progressive elaboration is least applicable to which of the following processes? | Control Schedule
You are the project manager of a project executing work under a contract signed with a buyer organization. Just after the project has started, you notice that the buyer organization had made a mistake in the financial terms and your organization stands to benefit considerably through this oversight. What should your stance be? | Bring the error to the notice of the buyer organization and have an amendment made to the contract since this was in good faith.
You have completed a milestone in your software development project and you are now verifying that the product meets the specifications outlined in the project management plan. What process group is this process in? | Monitor and Controlling
If you want a group of experts to identify project risks, but also want unbiased data, what is an appropriate technique to use? | Delphi technique
You are a Project Manager for a company that designs and develops automation systems for car companies. You are in the Close Project process for a project in which a new automation system has been designed and created for a car company located in Korea. You need to obtain formal acceptance for the new automation system. All of the following statements are true with respect to the final acceptance of the new system EXCEPT? | Final acceptance for the new automation system can be informal or formal.
You are working on a waste management project that, upon competition, will be handed over to the local municipality for steady state operation. Parking of the trucks and other vehicles has become a major problem because no parking area has been allotted to you on the main dumping site. As a result, your trucks are being parked on nearby roadsides. One of the fleet supervisor tells you that there is a large tract of land very close to the main site, that is owned by a local charity. Many locals park their cars on this tract of land. What should you do? | Ask the supervisor to get contact information of the local charity.
As a project manager, where would you document the escalation process to resolve issues that cannot be resolved at a lower staff level? | Communications Management Plan
Which of these statements is accurate regarding quality management? | Modern quality management complements project management
Your organization has recognized a need to replace the legacy manufacturing system with a modern software application to reduce delivery delays and process downtime. Your IT director anticipates a project to fulfill this business need, however, he warns that the new project’s budget cannot exceed $75,000 due to shortages in the department budget. He also indicates that no additional staff will be allocated to this project other than the existing IT staff. If you are assigned as a project manager to this project, you would document these initial project conditions as: | Project constraints in the project charter
Which of these items are important to address when determining each person’s role in the project team? | Role, authority, responsibility, and competency
Midway through the Collect Requirements process, a project manager finds that there are lots of unresolved issues. Which of the following is usually the best way to discover and resolve issues? | Facilitated workshops
You are a consulting project manager with over 15 years experience running software development projects. You have been engaged to manage a finance application project for a new customer. However on the first day onsite at the customer’s headquarters you are told the project has been cancelled, but there is a need for a project manager to manage a major infrastructure project to deploy a large number of servers and storage devices. The customer asks if you would be interested in leading this project. You have never managed this type of project before but would be interested in the challenge. Which of the follow is the best response? | Decline the opportunity, citing your lack of experience and knowledge in this area.
A Resource Breakdown Structure (RBS) would be used to breakdown the project by type of resources. The RBS is an example of a: | Hierarchical chart
Accepted deliverables are an input to the Close Project or Phase process. These deliverables would have been accepted through which of the following processes? | Validate Scope
A project management team came up with certain metrics such as defect frequency, failure rate, availability and reliability. These are usually defined as an output of what process? | Plan Quality Management
An organization wishes to ensure that the opportunity arising from a risk with positive impact is realized. This organization should: | Exploit the risk
The Work Breakdown Structure (WBS) is a deliverable-oriented hierarchical decomposition of the work to be executed by the project team, to accomplish the project objectives and create required deliverables. The ‘Create WBS’ is a process under which Knowledge Area? | Project Scope Management
As the Project Manager on the construction of a new hotel you have developed a project management plan that you believe is realistic and will be formally approved. The organizational assets that influenced the development of the plan may include all of the following except: | Business case for the project
The State of New York has contracted your company to provide a claims payment system for Medicaid benefits. In the contract there is a clause that indicates that the State of New York can review your work processes and deliverables. This is an example of? | Inspections and Audits
Long hours to meet a looming deadline and immense pressure for success from management is causing a downturn in team morale. Occasionally there are conflicts between team members over priorities and resources. How should these non-disruptive conflicts be handled? | Private, direct and collaborative approach should be used first
In the procurement process, the seller may be viewed initially as a bidder, then as the selected source and then as the contracted supplier. The seller will typically manage the work as a project. In such an instance, which of the following is not true? | There need not be a contractual relationship between the buyer and the seller
All team members have not yet been acquired for a project. However, the project manager went ahead with estimating activity durations, budgeting and other activities. What could likely happen to the activity durations? | The activity durations are likely to change.
Which of these tools is NOT a part of the Seven Basic Tools of Quality? | Statistical Sampling
Analogous Estimating is an estimation technique that use the values of parameters such as scope, cost, budget and duration from a previous similar activity as the basis of activity and is frequently used to estimate when there is a limited amount of information about the project. This is a form of: | Gross value estimation
A project manager used a control chart to determine whether a process was stable or not, and to determine if its performance was predictable. He determined the upper and lower specification limits based on the contractual requirements. A set of eighteen data points were taken. Of these, 8 consecutive data points were above the mean. What can you say about such a process? | A process is considered as out of control if seven consecutive data points are above or below the mean. Hence the process is out of control.
To communicate with stakeholders on the resolved issues and the issues that are hard to resolve, you use an issue log in your project. Since you assign an owner for every issue and resolve it by proactively working on it, your stakeholders actively support all your efforts in managing the project. This method of actively resolving issues and reducing risks to the project is known as: | Stakeholder management
A control chart is used to determine whether or not a process is stable or has predictable performance. When a process is within acceptable limits, the process need not be adjusted. What are the upper and lower control limits usually set as? |  + / – 3 sigma
A project is contracted as a Cost-Plus-Fixed-Fee (CPFF) type of contract with a fee of 10% of estimated costs. The estimated cost is US$ 50,000. If the project comes in at US$ 75,000 with no changes in project scope, what would be the total cost of the contract? |  US$ 80,000
If you want to have multiple vendors bid on your contract, what is the best way to ensure that all vendors have the same information before bidding? | Hold a bidder conference
Which of the following processes produces a Risk Register? | Identify Risks
You are the Project Manager for Motor Cars, Corp. You are working on a project for the Human Resources department that is scheduled to take one year. After three months into the project, you calculate the EV at $35,000 and the PV at $45,000. Which option below represents the value for the SV? | -$10,000
Project performance measurements are used to assess the magnitude of variation from the original scope baseline. Once the degree of scope variation is known, what step is performed next? | Root cause analysis of the cause of the variance relative to the scope baseline.
You are the Project Manager for Commodities, Inc. You are involved in a new project to create an internal web site for the employees of Commodities, Inc that will allow them to view events within the company. All of the following options listed are project constraints EXCEPT? | The navigation menu for the website must be on the top of the page.
A project manager is informed that a limited number of resources are going to be available for his project. He creates a project schedule by adding buffers to the project to protect the target finish date. What type of schedule network analysis is he using? | Critical chain method
Quantitative risk analysis should be performed: | only on prioritized risks
A project team is currently planning to perform the Monitor Stakeholder Engagement process to reassess the project stakeholders’ current engagement levels and review the current stakeholder management strategy. Which of the following is an output of this process? | Project documents updates
You are the Project Manager of a large IT project. A manager from a company contracted to work on the project offers you free tickets to a local sporting event. The tickets are expensive but your organization has no formal policy regarding gifts. What is the BEST way to handle the offer? | Politely refuse the tickets.
