What is the free float for Activity C? | 5 days
Which of the following is neither an input to nor an output of the Develop Project Charter process? | Professional and technical associations
You have been asked to establish a project charter for your new project. According to PMBOK, who normally has the responsibility to authorize the charter? | Project initiator or sponsor
Emily’s project is in execution. Emily is currently planning to execute the Manage Stakeholder Engagement process. She has gathered the stakeholder management plan, the recent change log, and the necessary organizational process assets. Which of the following is a key input to this process that is still missing from this list? | Communications management plan
A contract change control system should include: | Paperwork, tracking systems, dispute resolution procedures, and approval levels necessary for authorizing changes
As a project manager based at the customer location for a performing organization, you strike up a rapport with a customer manager. As the project progresses, the manager asks you to make certain changes to the project scope and wants this to be handled on an informal basis. You should: | Explain to the manager that you would need to formally document these as part of project scope change and put it through the change management process.
Variance Analysis is an important tool used in the Control Costs Process. Which of the following statements regarding variances is correct? | The percentage range of acceptable variances will tend to decrease as more work is accomplished
What is the BEST tool and technique that provides the expected cost of a procurement and helps identify significant variations from cost estimates prepared in-house? | Independent estimates
Analyzing the situation, differentiating between wants and needs, and focusing on interests and issues rather than on positions are critical elements in: | Negotiating
Which of the following is not an enterprise environmental factor influencing the Develop Project Management Plan process? | Project Management Plan template
You are reviewing the responses to an RFP issued by your company and realize that a major requirement was not included in the RFP that was released. By chance, however, one of the bidders included that requirement in their response. What is the best course of action? | Revise and reissue the RFP.
Which of the following is not an example of a work performance report? | Project charter
The selection of life cycle for the project, the processes to be applied to each phase, and the results of the tailoring by the project management team are usually found in the: | Project management plan
Which of the following processes produces a work breakdown structure as an output? | Create WBS
Organizational process assets are key inputs to the Manage Stakeholder Engagement process. The key elements of the organizational process assets utilized during this process are organizational communication requirements, issue management procedures and the change control procedures. Which of the following is also a key organizational process asset that must be considered during this process? | Historical information about previous projects
As part of the Risk Response planning for your project, you are trying to come up with a strategy to deal with negative risks or threats. In order to eliminate the impact of a particular risk, you relax the objective that is in jeopardy by extending the project schedule. This is an example of | Avoidance
There is a heavy demand for new houses in your city’s expensive neighborhood. RECON, a construction company employed you as a project manager to assess the benefit of building new energy efficient houses in that neighborhood although it takes more expensive technology to build such houses. You have started gathering data to perform the detail payback analysis to submit a report to the management. Since the full financial impact of energy efficient house building is difficult to estimate, you would like to prepare a rough cost-benefit analysis and include it with the report. Which of the following describes the effort you are undertaking in this scenario? | You are developing a business case to provide as an input to the develop project charter process
If you are writing a proposal for additional funding, which communication style should you choose? | formal and vertical
A summary milestone schedule would normally be part of which document? | Project charter
Your company has just completed an unexpected round of layoffs. Morale is low, and resources are tighter than ever. Your project is now behind schedule because of the loss of resources. Overtime work will be required of everyone for the next several weeks in order to close the gap. One of the critical resources on your project has an upcoming vacation that was approved and scheduled months ago. However, without this resource you will be unable to get back on schedule. What do you do? | Notify the project stakeholders of the situation immediately.
A project manager uses a Power / Interest grid to identify stakeholders in the project and to manage their expectations. Identify which of the following statements is wrong in the context of a Power / Interest grid. | Stakeholders with higher power and higher interest need the least attention.
You find out that a project team member has been stealing some material from the work place. You accidentally discover this and he says that he is very sorry about it, and will not repeat it again. You will: | Inform your HR department about the matter
As part of Define Activities, you are looking at dependencies used to define the sequence among the activities. Which of these is not a valid type of dependency? | Linked dependency
Which of these processes is NOT a Project Schedule Management process? | Create WBS
